canonical_name,object_type,evidence_backed_edge_count,distinct_contexts,mean_confidence
BERT,model,27240,27240,0.8880884728340676
LSTM,model,18129,18129,0.887345689227205
BLEU,metric,15750,15750,0.8976114285714285
Transformer,model,14082,14082,0.8825294702457038
CRF,method,12714,12714,0.8883671543180747
WordNet,dataset_or_database,12061,12061,0.8642409418787829
seq2seq,model,8649,8649,0.8896253902185224
attention mechanism,method,8486,8486,0.8784998821588499
SemEval,benchmark_or_protocol,8294,8294,0.8867241379310344
HMM,method,5899,5899,0.8881013731140871
GloVe,model,5835,5835,0.9112202227934876
Penn Treebank,dataset_or_database,5810,5810,0.8785387263339072
ROUGE,metric,5713,5713,0.902464554524768
word2vec,model,4684,4684,0.8903394534585825
ELMo,model,4240,4240,0.893443396226415
Moses,software_or_tool,3740,3740,0.9159705882352941
FrameNet,dataset_or_database,3705,3705,0.8735519568151148
METEOR,metric,3618,3618,0.909469320066335
SQuAD,dataset_or_database,3431,3431,0.8907140775284174
WMT,benchmark_or_protocol,3327,3327,0.8830868650435829
PropBank,dataset_or_database,2937,2937,0.8729656111678584
GIZA++,software_or_tool,2634,2634,0.9025816249050873
SNLI,dataset_or_database,2456,2456,0.8796946254071663
OntoNotes,dataset_or_database,1979,1979,0.8880697321879737
GLUE,benchmark_or_protocol,1729,1729,0.8840543666859456
Stanford CoreNLP,software_or_tool,1063,1063,0.9203668861712135
CoNLL-2003,benchmark_or_protocol,828,828,0.8861594202898551
MultiNLI,dataset_or_database,779,779,0.8843132220795892
OPUS,software_or_tool,677,677,0.8938552437223043
CoNLL-2012,benchmark_or_protocol,599,599,0.8862938230383973
NLTK,software_or_tool,594,594,0.913872053872054
spaCy,software_or_tool,413,413,0.9028329297820823
SuperGLUE,benchmark_or_protocol,255,255,0.8719607843137255
