canonical_name,object_type,final_intent,rows,object_total,row_normalized_rate
BERT,model,background,23459,32115,0.7304686283668068
BERT,model,uses,4324,32115,0.13464113342674763
BERT,model,compares_against,3303,32115,0.10284913591779542
BERT,model,extends,667,32115,0.020769111007317452
BERT,model,critiques,269,32115,0.00837614821734392
BERT,model,applies,93,32115,0.0028958430639887903
LSTM,model,background,17512,22623,0.7740794766388189
LSTM,model,compares_against,2199,22623,0.09720196260442912
LSTM,model,uses,2197,22623,0.09711355699951377
LSTM,model,extends,496,22623,0.021924590019007206
LSTM,model,critiques,163,22623,0.007205056800601158
LSTM,model,applies,56,22623,0.002475356937629846
BLEU,metric,background,11802,18334,0.6437220464710374
BLEU,metric,uses,3821,18334,0.2084106032507909
BLEU,metric,compares_against,2007,18334,0.10946874659103305
BLEU,metric,critiques,460,18334,0.02508999672739173
BLEU,metric,extends,198,18334,0.010799607287007745
BLEU,metric,applies,46,18334,0.002508999672739173
CRF,method,background,14454,17333,0.8339006519356141
CRF,method,uses,1258,17333,0.07257831881382334
CRF,method,compares_against,1173,17333,0.06767437835342988
CRF,method,extends,324,17333,0.018692667166676284
CRF,method,critiques,95,17333,0.005480874632204465
CRF,method,applies,29,17333,0.0016731090982518894
Transformer,model,background,12648,15918,0.7945721824349793
Transformer,model,uses,1803,15918,0.1132679984922729
Transformer,model,compares_against,1021,15918,0.06414122377183064
Transformer,model,extends,269,15918,0.016899107928131676
Transformer,model,critiques,145,15918,0.009109184570925995
Transformer,model,applies,32,15918,0.00201030280185953
WordNet,dataset_or_database,background,11521,13324,0.8646802761933353
WordNet,dataset_or_database,uses,910,13324,0.06829780846592615
WordNet,dataset_or_database,compares_against,513,13324,0.03850195136595617
WordNet,dataset_or_database,extends,219,13324,0.01643650555388772
WordNet,dataset_or_database,critiques,141,13324,0.010582407685379765
WordNet,dataset_or_database,applies,20,13324,0.0015010507355148605
seq2seq,model,background,8458,9785,0.8643842616249361
seq2seq,model,uses,532,9785,0.05436893203883495
seq2seq,model,compares_against,524,9785,0.053551354113438934
seq2seq,model,extends,162,9785,0.01655595298926929
seq2seq,model,critiques,90,9785,0.009197751660705161
seq2seq,model,applies,19,9785,0.001941747572815534
SemEval,benchmark_or_protocol,background,8098,9465,0.8555731642894876
