metric,value
analysis_ready_phase2_labels,229751
excluded_revalidated_labels,7946
remaining_failed_phase2_rows,68534
evidence_backed_object_nodes,33
evidence_backed_object_edges,193287
object_mentions,404228
funnel_section_aware_citation_contexts,1990689
funnel_resolved_citation_marker_components,3152073
funnel_analysis_ready_strong_contexts,1184634
funnel_object_graph_candidates,322688
funnel_phase1_high_medium_llm_queue,306231
funnel_revalidated_phase2_rows,237697
funnel_analysis_ready_phase2_labels,229751
funnel_evidence_backed_object_graph_edges,193287
funnel_remaining_failed_phase2_rows,68534
