source,target,rows,rate_within_source
applies,applies,1040,0.6257521058965102
applies,uses,572,0.34416365824308065
applies,compares_against,24,0.01444043321299639
applies,background,22,0.013237063778580024
applies,extends,4,0.0024067388688327317
background,background,102890,0.9681760012044565
background,compares_against,1590,0.014961607949412828
background,extends,957,0.009005194218608853
background,uses,680,0.0063986750978620895
background,critiques,131,0.0012326859379704908
background,applies,24,0.00022583559168925022
compares_against,compares_against,21225,0.9084100149796704
compares_against,background,1801,0.07708110421570726
compares_against,uses,242,0.010357372137812968
compares_against,extends,75,0.003209929381553606
compares_against,critiques,18,0.0007703830515728654
compares_against,applies,4,0.00017119623368285898
critiques,critiques,5897,0.883181069342519
critiques,background,576,0.08626628725475513
critiques,compares_against,127,0.01902051819679497
critiques,extends,39,0.005840946532874045
critiques,uses,36,0.005391642953422196
critiques,applies,1,0.0001497678598172832
critiques,unclear,1,0.0001497678598172832
extends,extends,1895,0.97781217750258
extends,compares_against,24,0.01238390092879257
extends,background,13,0.006707946336429308
extends,uses,4,0.0020639834881320948
extends,applies,2,0.0010319917440660474
unclear,background,38915,0.765862394709911
unclear,uses,5624,0.11068251594111628
unclear,compares_against,3723,0.07327009367865858
unclear,extends,1526,0.030032275840352674
unclear,unclear,598,0.01176887349445013
unclear,critiques,350,0.006888136660631347
unclear,applies,76,0.0014957096748799497
uses,uses,43335,0.9414716808968259
uses,background,1761,0.03825848921332203
uses,compares_against,642,0.013947728605878902
uses,extends,272,0.005909318038627822
uses,critiques,14,0.0003041560755176085
uses,applies,5,0.00010862716982771731
