object_type,bottleneck_family,rows,object_type_total,family_total,grand_total,row_share_within_object_type,row_share_global,lift_vs_global,rule_version
model,metric_validity,23,677,520,1874,0.033973412112259974,0.27748132337246534,0.12243495057379843,v1_heuristic_cue_family
model,generalization_domain,86,677,133,1874,0.12703101920236337,0.07097118463180363,1.7898957141746539,v1_heuristic_cue_family
model,data_resource_requirement,77,677,226,1874,0.1137370753323486,0.12059765208110992,0.9431118547469968,v1_heuristic_cue_family
model,computational_cost,19,677,34,1874,0.028064992614475627,0.01814300960512273,1.5468763576331568,v1_heuristic_cue_family
model,scalability,1,677,8,1874,0.0014771048744460858,0.004268943436499467,0.34601181683899557,v1_heuristic_cue_family
model,reproducibility_tooling,67,677,91,1874,0.09896602658788774,0.04855923159018143,2.0380476244582595,v1_heuristic_cue_family
model,linguistic_coverage,49,677,135,1874,0.0723781388478582,0.0720384204909285,1.0047157940806388,v1_heuristic_cue_family
model,poor_performance,59,677,106,1874,0.08714918759231906,0.05656350053361793,1.5407318636604332,v1_heuristic_cue_family
model,failure_limitation,195,677,388,1874,0.2880354505169867,0.20704375667022412,1.391181531620704,v1_heuristic_cue_family
model,other,101,677,233,1874,0.14918759231905465,0.12433297758804696,1.1999036395103366,v1_heuristic_cue_family
metric,metric_validity,476,614,520,1874,0.7752442996742671,0.27748132337246534,2.7938611876722623,v1_heuristic_cue_family
metric,generalization_domain,1,614,133,1874,0.0016286644951140066,0.07097118463180363,0.022948250104087582,v1_heuristic_cue_family
metric,data_resource_requirement,38,614,226,1874,0.06188925081433225,0.12059765208110992,0.5131878585223834,v1_heuristic_cue_family
metric,computational_cost,11,614,34,1874,0.017915309446254073,0.01814300960512273,0.9874497030082392,v1_heuristic_cue_family
metric,scalability,7,614,8,1874,0.011400651465798045,0.004268943436499467,2.670602605863192,v1_heuristic_cue_family
metric,reproducibility_tooling,4,614,91,1874,0.006514657980456026,0.04855923159018143,0.13415900060851202,v1_heuristic_cue_family
metric,linguistic_coverage,29,614,135,1874,0.04723127035830619,0.0720384204909285,0.6556400048256725,v1_heuristic_cue_family
metric,poor_performance,4,614,106,1874,0.006514657980456026,0.05656350053361793,0.11517423637145843,v1_heuristic_cue_family
metric,failure_limitation,26,614,388,1874,0.04234527687296417,0.20704375667022412,0.2045233218039558,v1_heuristic_cue_family
metric,other,18,614,233,1874,0.029315960912052116,0.12433297758804696,0.2357858830437153,v1_heuristic_cue_family
dataset_or_database,metric_validity,10,274,520,1874,0.0364963503649635,0.27748132337246534,0.13152723189219537,v1_heuristic_cue_family
dataset_or_database,generalization_domain,36,274,133,1874,0.13138686131386862,0.07097118463180363,1.8512705120465398,v1_heuristic_cue_family
dataset_or_database,data_resource_requirement,75,274,226,1874,0.2737226277372263,0.12059765208110992,2.2697177184936375,v1_heuristic_cue_family
dataset_or_database,computational_cost,2,274,34,1874,0.0072992700729927005,0.01814300960512273,0.40231859167024475,v1_heuristic_cue_family
dataset_or_database,reproducibility_tooling,5,274,91,1874,0.01824817518248175,0.04855923159018143,0.3757920911205582,v1_heuristic_cue_family
dataset_or_database,linguistic_coverage,33,274,135,1874,0.12043795620437957,0.0720384204909285,1.6718572587185725,v1_heuristic_cue_family
dataset_or_database,poor_performance,8,274,106,1874,0.029197080291970802,0.05656350053361793,0.5161823440297479,v1_heuristic_cue_family
dataset_or_database,failure_limitation,70,274,388,1874,0.25547445255474455,0.20704375667022412,1.2339152682669878,v1_heuristic_cue_family
dataset_or_database,other,35,274,233,1874,0.12773722627737227,0.12433297758804696,1.027380094608565,v1_heuristic_cue_family
method,metric_validity,3,215,520,1874,0.013953488372093023,0.27748132337246534,0.050286225402504464,v1_heuristic_cue_family
method,generalization_domain,6,215,133,1874,0.027906976744186046,0.07097118463180363,0.3932155971323658,v1_heuristic_cue_family
method,data_resource_requirement,24,215,226,1874,0.11162790697674418,0.12059765208110992,0.9256225560814982,v1_heuristic_cue_family
method,computational_cost,2,215,34,1874,0.009302325581395349,0.01814300960512273,0.5127222982216142,v1_heuristic_cue_family
method,reproducibility_tooling,5,215,91,1874,0.023255813953488372,0.04855923159018143,0.47891643240480447,v1_heuristic_cue_family
method,linguistic_coverage,18,215,135,1874,0.08372093023255814,0.0720384204909285,1.1621705426356588,v1_heuristic_cue_family
method,poor_performance,27,215,106,1874,0.12558139534883722,0.05656350053361793,2.220184291355858,v1_heuristic_cue_family
method,failure_limitation,64,215,388,1874,0.29767441860465116,0.20704375667022412,1.4377367537760728,v1_heuristic_cue_family
method,other,66,215,233,1874,0.30697674418604654,0.12433297758804696,2.468988921050005,v1_heuristic_cue_family
benchmark_or_protocol,metric_validity,6,48,520,1874,0.125,0.27748132337246534,0.4504807692307692,v1_heuristic_cue_family
benchmark_or_protocol,generalization_domain,3,48,133,1874,0.0625,0.07097118463180363,0.8806390977443609,v1_heuristic_cue_family
benchmark_or_protocol,data_resource_requirement,8,48,226,1874,0.16666666666666666,0.12059765208110992,1.3820058997050146,v1_heuristic_cue_family
benchmark_or_protocol,linguistic_coverage,3,48,135,1874,0.0625,0.0720384204909285,0.8675925925925926,v1_heuristic_cue_family
benchmark_or_protocol,poor_performance,2,48,106,1874,0.041666666666666664,0.05656350053361793,0.7366352201257861,v1_heuristic_cue_family
benchmark_or_protocol,failure_limitation,20,48,388,1874,0.4166666666666667,0.20704375667022412,2.0124570446735395,v1_heuristic_cue_family
benchmark_or_protocol,other,6,48,233,1874,0.125,0.12433297758804696,1.0053648068669527,v1_heuristic_cue_family
software_or_tool,metric_validity,2,46,520,1874,0.043478260869565216,0.27748132337246534,0.15668896321070233,v1_heuristic_cue_family
software_or_tool,generalization_domain,1,46,133,1874,0.021739130434782608,0.07097118463180363,0.3063092513893429,v1_heuristic_cue_family
software_or_tool,data_resource_requirement,4,46,226,1874,0.08695652173913043,0.12059765208110992,0.7210465563678338,v1_heuristic_cue_family
software_or_tool,reproducibility_tooling,10,46,91,1874,0.21739130434782608,0.04855923159018143,4.476827520305781,v1_heuristic_cue_family
software_or_tool,linguistic_coverage,3,46,135,1874,0.06521739130434782,0.0720384204909285,0.9053140096618357,v1_heuristic_cue_family
software_or_tool,poor_performance,6,46,106,1874,0.13043478260869565,0.05656350053361793,2.305988515176374,v1_heuristic_cue_family
software_or_tool,failure_limitation,13,46,388,1874,0.2826086956521739,0.20704375667022412,1.3649708650829224,v1_heuristic_cue_family
software_or_tool,other,7,46,233,1874,0.15217391304347827,0.12433297758804696,1.22392237357716,v1_heuristic_cue_family
