object_id,canonical_name,object_type,total_edges,background_edges,non_background_edges,uses_count,compares_against_count,extends_count,critiques_count,applies_count,use_share_non_background,compare_critique_share_non_background,critique_share_non_background,background_share,evidence_use_count,distinct_contexts,mean_confidence,role_quadrant,role_quadrant_rule_version
obj_bert,BERT,model,27380,20398,6982,3551,2560,557,236,78,0.5085935262102549,0.4004583213978803,0.033801203093669435,0.7449963476990504,6982,27380,0.8881252739225712,mixed_role,v1_heuristic
obj_bleu,BLEU,metric,15991,10470,5521,3257,1665,177,384,38,0.5899293606230755,0.37112841876471653,0.06955261727947835,0.6547432931023701,5521,15991,0.8979388405978364,mixed_role,v1_heuristic
obj_lstm,LSTM,model,18200,14134,4066,1803,1692,389,137,45,0.44343334972946385,0.4498278406296114,0.03369404820462371,0.7765934065934066,4066,18200,0.8872741758241758,canonical_background,v1_heuristic
obj_transformer,Transformer,model,14137,11295,2842,1592,863,231,130,26,0.5601688951442646,0.3494018296973962,0.04574243490499648,0.7989672490627432,2842,14137,0.8824474782485676,canonical_background,v1_heuristic
obj_glove,GloVe,model,5865,3252,2613,1990,496,83,37,7,0.7615767317259855,0.20398009950248755,0.014159969383849981,0.5544757033248082,2613,5865,0.9110230179028133,operational_infrastructure,v1_heuristic
obj_moses,Moses,software_or_tool,3767,1399,2368,1910,394,32,16,16,0.8065878378378378,0.17314189189189189,0.006756756756756757,0.37138306344571276,2368,3767,0.9158747013538625,operational_infrastructure,v1_heuristic
obj_crf,CRF,method,12733,10567,2166,985,834,255,72,20,0.45475530932594643,0.4182825484764543,0.0332409972299169,0.8298908348386084,2166,12733,0.8883711615487315,canonical_background,v1_heuristic
obj_rouge,ROUGE,metric,5785,4011,1774,1141,431,38,157,7,0.6431792559188275,0.3314543404735062,0.08850056369785794,0.6933448573898012,1774,5785,0.902561797752809,operational_infrastructure,v1_heuristic
obj_wordnet,WordNet,dataset_or_database,12086,10516,1570,801,439,192,119,19,0.5101910828025478,0.3554140127388535,0.07579617834394904,0.8700976336256826,1570,12086,0.8642867780903525,canonical_background,v1_heuristic
obj_giza,GIZA++,software_or_tool,2658,1276,1382,1095,232,33,16,6,0.7923299565846599,0.17945007235890015,0.011577424023154847,0.4800601956358164,1382,2658,0.9027313769751694,operational_infrastructure,v1_heuristic
