normalized_section,final_intent,rows,section_total,intent_total,grand_total,row_share,global_share,is_unknown_section,section_label,log_odds_lift,lift_direction
abstract,background,522,1156,139823,229751,0.4515570934256055,0.6085849463114416,False,Abstract (N=1.2k),-0.6355783061226549,underrepresented
abstract,uses,182,1156,50191,229751,0.157439446366782,0.21845824392494484,False,Abstract (N=1.2k),-0.40050783708248683,underrepresented
abstract,compares_against,253,1156,27435,229751,0.21885813148788927,0.11941188504076151,False,Abstract (N=1.2k),0.7270832206431574,overrepresented
abstract,extends,131,1156,4763,229751,0.11332179930795848,0.02073113936392007,False,Abstract (N=1.2k),1.8011378717277786,overrepresented
abstract,critiques,45,1156,6402,229751,0.03892733564013841,0.02786494944526901,False,Abstract (N=1.2k),0.35629586261782453,overrepresented
abstract,applies,23,1156,1137,229751,0.019896193771626297,0.004948835913663053,False,Abstract (N=1.2k),1.4271392582800049,overrepresented
analysis,background,820,1547,139823,229751,0.5300581771170007,0.6085849463114416,False,Analysis (N=1.5k),-0.3210660913226805,underrepresented
analysis,uses,354,1547,50191,229751,0.22882999353587588,0.21845824392494484,False,Analysis (N=1.5k),0.06072940903588009,overrepresented
analysis,compares_against,273,1547,27435,229751,0.17647058823529413,0.11941188504076151,False,Analysis (N=1.5k),0.45898790569006853,overrepresented
analysis,extends,26,1547,4763,229751,0.01680672268907563,0.02073113936392007,False,Analysis (N=1.5k),-0.195240638722455,underrepresented
analysis,critiques,63,1547,6402,229751,0.04072398190045249,0.02786494944526901,False,Analysis (N=1.5k),0.4002558817600024,overrepresented
analysis,applies,11,1547,1137,229751,0.007110536522301228,0.004948835913663053,False,Analysis (N=1.5k),0.4082889608761402,overrepresented
background,background,2514,2975,139823,229751,0.8450420168067226,0.6085849463114416,False,Background (N=3.0k),1.253981198861934,overrepresented
background,uses,215,2975,50191,229751,0.07226890756302522,0.21845824392494484,False,Background (N=3.0k),-1.2755396833377142,underrepresented
background,compares_against,148,2975,27435,229751,0.049747899159663864,0.11941188504076151,False,Background (N=3.0k),-0.9485677421033183,underrepresented
background,extends,21,2975,4763,229751,0.007058823529411765,0.02073113936392007,False,Background (N=3.0k),-1.0679651780297177,underrepresented
