normalized_section,final_intent,rows,section_total,row_share,is_unknown_section,section_label
error_analysis,applies,1,179,0.00558659217877095,False,Error Analysis (N=179)
error_analysis,background,105,179,0.5865921787709497,False,Error Analysis (N=179)
error_analysis,compares_against,35,179,0.19553072625698323,False,Error Analysis (N=179)
error_analysis,critiques,6,179,0.0335195530726257,False,Error Analysis (N=179)
error_analysis,extends,5,179,0.027932960893854747,False,Error Analysis (N=179)
error_analysis,uses,27,179,0.15083798882681565,False,Error Analysis (N=179)
task_definition,applies,2,470,0.00425531914893617,False,Task Definition (N=470)
task_definition,background,247,470,0.5255319148936171,False,Task Definition (N=470)
task_definition,compares_against,27,470,0.0574468085106383,False,Task Definition (N=470)
task_definition,critiques,19,470,0.04042553191489362,False,Task Definition (N=470)
task_definition,extends,11,470,0.023404255319148935,False,Task Definition (N=470)
task_definition,uses,164,470,0.34893617021276596,False,Task Definition (N=470)
system_description,applies,9,813,0.01107011070110701,False,System Description (N=813)
system_description,background,264,813,0.3247232472324723,False,System Description (N=813)
system_description,compares_against,166,813,0.20418204182041821,False,System Description (N=813)
system_description,critiques,5,813,0.006150061500615006,False,System Description (N=813)
system_description,extends,19,813,0.023370233702337023,False,System Description (N=813)
system_description,uses,350,813,0.43050430504305043,False,System Description (N=813)
abstract,applies,23,1156,0.019896193771626297,False,Abstract (N=1.2k)
abstract,background,522,1156,0.4515570934256055,False,Abstract (N=1.2k)
abstract,compares_against,253,1156,0.21885813148788927,False,Abstract (N=1.2k)
abstract,critiques,45,1156,0.03892733564013841,False,Abstract (N=1.2k)
abstract,extends,131,1156,0.11332179930795848,False,Abstract (N=1.2k)
abstract,uses,182,1156,0.157439446366782,False,Abstract (N=1.2k)
implementation,applies,7,1273,0.0054988216810683424,False,Implementation (N=1.3k)
implementation,background,198,1273,0.15553809897879026,False,Implementation (N=1.3k)
implementation,compares_against,71,1273,0.05577376276512176,False,Implementation (N=1.3k)
implementation,critiques,8,1273,0.006284367635506678,False,Implementation (N=1.3k)
implementation,extends,16,1273,0.012568735271013355,False,Implementation (N=1.3k)
implementation,uses,973,1273,0.7643362136684996,False,Implementation (N=1.3k)
analysis,applies,11,1547,0.007110536522301228,False,Analysis (N=1.5k)
analysis,background,820,1547,0.5300581771170007,False,Analysis (N=1.5k)
analysis,compares_against,273,1547,0.17647058823529413,False,Analysis (N=1.5k)
analysis,critiques,63,1547,0.04072398190045249,False,Analysis (N=1.5k)
analysis,extends,26,1547,0.01680672268907563,False,Analysis (N=1.5k)
analysis,uses,354,1547,0.22882999353587588,False,Analysis (N=1.5k)
discussion,applies,7,1919,0.0036477331943720686,False,Discussion (N=1.9k)
discussion,background,1221,1919,0.6362688900468995,False,Discussion (N=1.9k)
discussion,compares_against,465,1919,0.242313705054716,False,Discussion (N=1.9k)
discussion,critiques,107,1919,0.055758207399687336,False,Discussion (N=1.9k)
discussion,extends,36,1919,0.018759770713913496,False,Discussion (N=1.9k)
discussion,uses,83,1919,0.04325169359041167,False,Discussion (N=1.9k)
conclusion,applies,23,2952,0.007791327913279133,False,Conclusion (N=3.0k)
conclusion,background,1829,2952,0.619579945799458,False,Conclusion (N=3.0k)
conclusion,compares_against,586,2952,0.19850948509485095,False,Conclusion (N=3.0k)
conclusion,critiques,77,2952,0.0260840108401084,False,Conclusion (N=3.0k)
conclusion,extends,219,2952,0.0741869918699187,False,Conclusion (N=3.0k)
conclusion,uses,218,2952,0.07384823848238482,False,Conclusion (N=3.0k)
background,applies,1,2975,0.0003361344537815126,False,Background (N=3.0k)
background,background,2514,2975,0.8450420168067226,False,Background (N=3.0k)
background,compares_against,148,2975,0.049747899159663864,False,Background (N=3.0k)
background,critiques,76,2975,0.025546218487394957,False,Background (N=3.0k)
background,extends,21,2975,0.007058823529411765,False,Background (N=3.0k)
background,uses,215,2975,0.07226890756302522,False,Background (N=3.0k)
results,applies,18,5202,0.0034602076124567475,False,Results (N=5.2k)
results,background,1819,5202,0.34967320261437906,False,Results (N=5.2k)
results,compares_against,2368,5202,0.45520953479430987,False,Results (N=5.2k)
results,critiques,105,5202,0.020184544405997693,False,Results (N=5.2k)
results,extends,65,5202,0.012495194156093811,False,Results (N=5.2k)
results,uses,827,5202,0.15897731641676277,False,Results (N=5.2k)
method,applies,60,6348,0.00945179584120983,False,Method (N=6.3k)
method,background,2825,6348,0.44502205419029617,False,Method (N=6.3k)
method,compares_against,917,6348,0.14445494643982357,False,Method (N=6.3k)
method,critiques,119,6348,0.01874606175173283,False,Method (N=6.3k)
method,extends,237,6348,0.03733459357277883,False,Method (N=6.3k)
method,uses,2190,6348,0.3449905482041588,False,Method (N=6.3k)
evaluation,applies,37,8471,0.004367843229842993,False,Evaluation (N=8.5k)
evaluation,background,3981,8471,0.46995632156770156,False,Evaluation (N=8.5k)
evaluation,compares_against,1215,8471,0.14343052768268208,False,Evaluation (N=8.5k)
evaluation,critiques,212,8471,0.025026561208830126,False,Evaluation (N=8.5k)
evaluation,extends,97,8471,0.01145083225121001,False,Evaluation (N=8.5k)
evaluation,uses,2929,8471,0.34576791405973323,False,Evaluation (N=8.5k)
model,applies,60,11257,0.005330016878386782,False,Model (N=11.3k)
model,background,5305,11257,0.47126232566403126,False,Model (N=11.3k)
model,compares_against,1446,11257,0.12845340676912143,False,Model (N=11.3k)
model,critiques,142,11257,0.012614373278848717,False,Model (N=11.3k)
model,extends,445,11257,0.03953095851470197,False,Model (N=11.3k)
model,uses,3859,11257,0.34280891889490983,False,Model (N=11.3k)
dataset,applies,89,13424,0.006629916567342074,False,Dataset (N=13.4k)
dataset,background,4699,13424,0.35004469606674615,False,Dataset (N=13.4k)
dataset,compares_against,1057,13424,0.07873957091775924,False,Dataset (N=13.4k)
dataset,critiques,185,13424,0.013781287246722288,False,Dataset (N=13.4k)
dataset,extends,166,13424,0.012365911799761622,False,Dataset (N=13.4k)
dataset,uses,7228,13424,0.5384386174016687,False,Dataset (N=13.4k)
experiment,applies,98,14069,0.006965669201791172,False,Experiment (N=14.1k)
experiment,background,3996,14069,0.2840287156158931,False,Experiment (N=14.1k)
experiment,compares_against,2526,14069,0.1795436775890255,False,Experiment (N=14.1k)
experiment,critiques,139,14069,0.009879877745397683,False,Experiment (N=14.1k)
experiment,extends,164,14069,0.011656834174426043,False,Experiment (N=14.1k)
experiment,uses,7146,14069,0.5079252256734665,False,Experiment (N=14.1k)
related_work,applies,38,44772,0.0008487447511837756,False,Related Work (N=44.8k)
related_work,background,39398,44772,0.8799696238720629,False,Related Work (N=44.8k)
related_work,compares_against,2979,44772,0.0665371214151702,False,Related Work (N=44.8k)
related_work,critiques,1047,44772,0.02338515143393192,False,Related Work (N=44.8k)
related_work,extends,519,44772,0.01159206647011525,False,Related Work (N=44.8k)
related_work,uses,791,44772,0.01766729205753596,False,Related Work (N=44.8k)
introduction,applies,201,53840,0.003733283803863299,False,Introduction (N=53.8k)
introduction,background,42082,53840,0.7816121842496285,False,Introduction (N=53.8k)
introduction,compares_against,5522,53840,0.1025631500742942,False,Introduction (N=53.8k)
introduction,critiques,2645,53840,0.04912704309063893,False,Introduction (N=53.8k)
introduction,extends,875,53840,0.0162518573551263,False,Introduction (N=53.8k)
introduction,uses,2515,53840,0.04671248142644874,False,Introduction (N=53.8k)
unknown,applies,452,59084,0.00765012524541331,True,Unknown (N=59.1k)
unknown,background,27998,59084,0.47386771376345543,True,Unknown (N=59.1k)
unknown,compares_against,7381,59084,0.12492383724866292,True,Unknown (N=59.1k)
unknown,critiques,1402,59084,0.023728928305463408,True,Unknown (N=59.1k)
unknown,extends,1711,59084,0.02895877056394286,True,Unknown (N=59.1k)
unknown,uses,20140,59084,0.3408706248730621,True,Unknown (N=59.1k)
