object_id,canonical_name,object_type,final_intent,rows,object_total,background_edges,non_background_edges,row_share,non_background_share,object_label
obj_bert,BERT,model,applies,78,27380,20398,6982,0.0028487947406866327,0.2550036523009496,BERT (N=27.4k)
obj_bert,BERT,model,background,20398,27380,20398,6982,0.7449963476990504,0.2550036523009496,BERT (N=27.4k)
obj_bert,BERT,model,compares_against,2560,27380,20398,6982,0.09349890430971512,0.2550036523009496,BERT (N=27.4k)
obj_bert,BERT,model,critiques,236,27380,20398,6982,0.008619430241051863,0.2550036523009496,BERT (N=27.4k)
obj_bert,BERT,model,extends,557,27380,20398,6982,0.020343316289262236,0.2550036523009496,BERT (N=27.4k)
obj_bert,BERT,model,uses,3551,27380,20398,6982,0.12969320672023374,0.2550036523009496,BERT (N=27.4k)
obj_bleu,BLEU,metric,applies,38,15991,10470,5521,0.0023763366893877805,0.34525670689762994,BLEU (N=16.0k)
obj_bleu,BLEU,metric,background,10470,15991,10470,5521,0.6547432931023701,0.34525670689762994,BLEU (N=16.0k)
obj_bleu,BLEU,metric,compares_against,1665,15991,10470,5521,0.10412106810080671,0.34525670689762994,BLEU (N=16.0k)
obj_bleu,BLEU,metric,critiques,384,15991,10470,5521,0.024013507598023887,0.34525670689762994,BLEU (N=16.0k)
obj_bleu,BLEU,metric,extends,177,15991,10470,5521,0.011068726158464137,0.34525670689762994,BLEU (N=16.0k)
obj_bleu,BLEU,metric,uses,3257,15991,10470,5521,0.2036770683509474,0.34525670689762994,BLEU (N=16.0k)
obj_lstm,LSTM,model,applies,45,18200,14134,4066,0.0024725274725274724,0.2234065934065934,LSTM (N=18.2k)
obj_lstm,LSTM,model,background,14134,18200,14134,4066,0.7765934065934066,0.2234065934065934,LSTM (N=18.2k)
obj_lstm,LSTM,model,compares_against,1692,18200,14134,4066,0.09296703296703297,0.2234065934065934,LSTM (N=18.2k)
obj_lstm,LSTM,model,critiques,137,18200,14134,4066,0.007527472527472528,0.2234065934065934,LSTM (N=18.2k)
obj_lstm,LSTM,model,extends,389,18200,14134,4066,0.021373626373626373,0.2234065934065934,LSTM (N=18.2k)
obj_lstm,LSTM,model,uses,1803,18200,14134,4066,0.09906593406593407,0.2234065934065934,LSTM (N=18.2k)
obj_transformer,Transformer,model,applies,26,14137,11295,2842,0.0018391455047039682,0.20103275093725684,Transformer (N=14.1k)
obj_transformer,Transformer,model,background,11295,14137,11295,2842,0.7989672490627432,0.20103275093725684,Transformer (N=14.1k)
obj_transformer,Transformer,model,compares_against,863,14137,11295,2842,0.06104548348305864,0.20103275093725684,Transformer (N=14.1k)
obj_transformer,Transformer,model,critiques,130,14137,11295,2842,0.009195727523519841,0.20103275093725684,Transformer (N=14.1k)
obj_transformer,Transformer,model,extends,231,14137,11295,2842,0.016340100445639102,0.20103275093725684,Transformer (N=14.1k)
obj_transformer,Transformer,model,uses,1592,14137,11295,2842,0.11261229398033529,0.20103275093725684,Transformer (N=14.1k)
obj_glove,GloVe,model,applies,7,5865,3252,2613,0.0011935208866155158,0.44552429667519183,GloVe (N=5.9k)
obj_glove,GloVe,model,background,3252,5865,3252,2613,0.5544757033248082,0.44552429667519183,GloVe (N=5.9k)
obj_glove,GloVe,model,compares_against,496,5865,3252,2613,0.0845694799658994,0.44552429667519183,GloVe (N=5.9k)
obj_glove,GloVe,model,critiques,37,5865,3252,2613,0.006308610400682012,0.44552429667519183,GloVe (N=5.9k)
obj_glove,GloVe,model,extends,83,5865,3252,2613,0.014151747655583974,0.44552429667519183,GloVe (N=5.9k)
obj_glove,GloVe,model,uses,1990,5865,3252,2613,0.3393009377664109,0.44552429667519183,GloVe (N=5.9k)
obj_moses,Moses,software_or_tool,applies,16,3767,1399,2368,0.004247411733474914,0.6286169365542872,Moses (N=3.8k)
obj_moses,Moses,software_or_tool,background,1399,3767,1399,2368,0.37138306344571276,0.6286169365542872,Moses (N=3.8k)
obj_moses,Moses,software_or_tool,compares_against,394,3767,1399,2368,0.10459251393681974,0.6286169365542872,Moses (N=3.8k)
obj_moses,Moses,software_or_tool,critiques,16,3767,1399,2368,0.004247411733474914,0.6286169365542872,Moses (N=3.8k)
obj_moses,Moses,software_or_tool,extends,32,3767,1399,2368,0.008494823466949828,0.6286169365542872,Moses (N=3.8k)
obj_moses,Moses,software_or_tool,uses,1910,3767,1399,2368,0.5070347756835678,0.6286169365542872,Moses (N=3.8k)
obj_crf,CRF,method,applies,20,12733,10567,2166,0.0015707217466425824,0.17010916516139166,CRF (N=12.7k)
obj_crf,CRF,method,background,10567,12733,10567,2166,0.8298908348386084,0.17010916516139166,CRF (N=12.7k)
obj_crf,CRF,method,compares_against,834,12733,10567,2166,0.06549909683499568,0.17010916516139166,CRF (N=12.7k)
obj_crf,CRF,method,critiques,72,12733,10567,2166,0.005654598287913296,0.17010916516139166,CRF (N=12.7k)
obj_crf,CRF,method,extends,255,12733,10567,2166,0.020026702269692925,0.17010916516139166,CRF (N=12.7k)
obj_crf,CRF,method,uses,985,12733,10567,2166,0.07735804602214717,0.17010916516139166,CRF (N=12.7k)
obj_rouge,ROUGE,metric,applies,7,5785,4011,1774,0.0012100259291270526,0.30665514261019877,ROUGE (N=5.8k)
obj_rouge,ROUGE,metric,background,4011,5785,4011,1774,0.6933448573898012,0.30665514261019877,ROUGE (N=5.8k)
obj_rouge,ROUGE,metric,compares_against,431,5785,4011,1774,0.07450302506482281,0.30665514261019877,ROUGE (N=5.8k)
obj_rouge,ROUGE,metric,critiques,157,5785,4011,1774,0.027139152981849612,0.30665514261019877,ROUGE (N=5.8k)
obj_rouge,ROUGE,metric,extends,38,5785,4011,1774,0.006568712186689715,0.30665514261019877,ROUGE (N=5.8k)
obj_rouge,ROUGE,metric,uses,1141,5785,4011,1774,0.1972342264477096,0.30665514261019877,ROUGE (N=5.8k)
obj_wordnet,WordNet,dataset_or_database,applies,19,12086,10516,1570,0.0015720668542114843,0.1299023663743174,WordNet (N=12.1k)
obj_wordnet,WordNet,dataset_or_database,background,10516,12086,10516,1570,0.8700976336256826,0.1299023663743174,WordNet (N=12.1k)
obj_wordnet,WordNet,dataset_or_database,compares_against,439,12086,10516,1570,0.036323018368360084,0.1299023663743174,WordNet (N=12.1k)
obj_wordnet,WordNet,dataset_or_database,critiques,119,12086,10516,1570,0.00984610292900877,0.1299023663743174,WordNet (N=12.1k)
obj_wordnet,WordNet,dataset_or_database,extends,192,12086,10516,1570,0.015886149263610788,0.1299023663743174,WordNet (N=12.1k)
