source_intent,target_intent,rows,source_total,row_share
applies,applies,1027,1645,0.6243161094224924
applies,background,17,1645,0.01033434650455927
applies,compares_against,24,1645,0.01458966565349544
applies,extends,8,1645,0.004863221884498481
applies,uses,569,1645,0.3458966565349544
background,applies,24,104413,0.00022985643550132645
background,background,100943,104413,0.9667665903670999
background,compares_against,1649,104413,0.015793052589236974
background,critiques,133,104413,0.0012737877467365174
background,extends,960,104413,0.009194257420053059
background,uses,704,104413,0.006742455441372243
compares_against,applies,4,23234,0.00017216148747525178
compares_against,background,1778,23234,0.07652578118274941
compares_against,compares_against,21113,23234,0.9087113712662478
compares_against,critiques,20,23234,0.0008608074373762589
compares_against,extends,76,23234,0.003271068262029784
compares_against,uses,243,23234,0.010458810364121546
critiques,applies,1,6644,0.00015051173991571343
critiques,background,564,6644,0.08488862131246237
critiques,compares_against,131,6644,0.01971703792895846
critiques,critiques,5870,6644,0.8835039133052378
critiques,extends,38,6644,0.005719446116797111
critiques,uses,40,6644,0.006020469596628537
extends,applies,2,1921,0.001041124414367517
extends,background,12,1921,0.006246746486205101
extends,compares_against,25,1921,0.013014055179593961
extends,extends,1878,1921,0.9776158250910983
extends,uses,4,1921,0.002082248828735034
unclear,applies,74,46496,0.0015915347556779078
unclear,background,34799,46496,0.7484299724707502
unclear,compares_against,3831,46496,0.08239418444597385
unclear,critiques,364,46496,0.00782863041982106
unclear,extends,1518,46496,0.03264796971782519
unclear,uses,5910,46496,0.12710770818995182
uses,applies,5,45398,0.00011013701044098859
uses,background,1710,45398,0.0376668575708181
uses,compares_against,662,45398,0.014582140182386889
uses,critiques,15,45398,0.0003304110313229658
uses,extends,285,45398,0.00627780959513635
uses,uses,42721,45398,0.9410326446098947
