object_type,method_edge_type,rows
benchmark_or_protocol,background,9
benchmark_or_protocol,compares,6
benchmark_or_protocol,not_method_related,4
benchmark_or_protocol,uses_component,3
benchmark_or_protocol,extends,2
dataset_or_database,background,20
dataset_or_database,compares,8
dataset_or_database,uses_component,7
dataset_or_database,not_method_related,4
dataset_or_database,extends,2
method,background,15
method,compares,9
method,uses_component,6
method,extends,4
method,adapts,1
method,improves,1
metric,not_method_related,20
metric,compares,17
metric,uses_component,17
metric,background,5
metric,extends,1
metric,improves,1
model,background,54
model,compares,44
model,uses_component,43
model,not_method_related,9
model,extends,6
model,adapts,5
software_or_tool,uses_component,12
software_or_tool,background,7
software_or_tool,adapts,1
software_or_tool,compares,1
software_or_tool,not_method_related,1
