canonical_name,object_type,applies,background,compares_against,critiques,extends,unclear,uses,total
BERT,model,74,19752,2364,226,540,122,3408,26486
method,method,413,1331,2921,1149,1155,0,12121,19090
LSTM,model,43,14367,1599,131,388,72,1759,18359
BLEU,metric,38,10862,1643,384,176,92,3236,16431
Transformer,model,32,12325,923,152,285,58,1785,15560
CRF,method,22,10485,761,69,256,21,972,12586
WordNet,dataset_or_database,18,10798,420,116,192,22,800,12366
accuracy,metric,28,9578,1716,127,265,29,549,12292
seq2seq,model,17,9730,666,132,226,16,589,11376
dataset_or_database,dataset_or_database,81,450,503,253,119,0,7072,8478
SemEval,benchmark_or_protocol,14,7271,412,24,73,8,614,8416
attention mechanism,method,11,7235,300,82,180,11,387,8206
unknown,unknown,3,524,4968,1420,125,1,399,7440
Penn Treebank,dataset_or_database,28,4548,242,40,59,8,967,5892
HMM,method,6,4941,300,59,120,18,407,5851
ROUGE,metric,7,4037,400,160,39,19,1120,5782
model,model,40,1499,2066,282,146,0,1643,5676
GloVe,model,7,2992,490,34,79,22,1962,5586
word2vec,model,3,3747,327,25,76,21,714,4913
ELMo,model,11,3158,316,33,86,15,458,4077
software_or_tool,software_or_tool,61,22,207,28,51,0,3669,4038
Moses,software_or_tool,15,1464,370,16,35,9,1886,3795
SQuAD,dataset_or_database,14,2710,237,28,36,16,439,3480
WMT,benchmark_or_protocol,7,2460,277,15,56,13,631,3459
FrameNet,dataset_or_database,13,3164,55,16,44,3,149,3444
F1,metric,10,2087,876,13,99,12,330,3427
METEOR,metric,5,2311,270,76,30,11,704,3407
PropBank,dataset_or_database,7,2456,63,9,32,2,169,2738
benchmark_or_protocol,benchmark_or_protocol,17,151,1390,57,19,0,1053,2687
GIZA++,software_or_tool,5,1287,218,16,35,5,1041,2607
BERT,method,2,708,26,4,30,0,43,813
attention mechanism,model,0,562,41,2,15,3,35,658
BERT,metric,3,363,142,3,5,8,56,580
Transformer,method,2,337,20,3,7,1,31,401
LSTM,method,2,307,30,0,13,0,48,400
LSTM,metric,0,245,105,5,8,16,20,399
Penn Treebank,metric,1,274,45,5,2,2,21,350
GloVe,method,0,240,9,0,5,0,26,280
WordNet,metric,1,189,24,2,3,4,11,234
CRF,model,0,187,15,3,4,3,13,225
CRF,metric,0,137,59,0,5,3,9,213
FrameNet,method,0,188,2,1,6,0,3,200
ELMo,method,3,164,4,0,7,1,12,191
BERT,dataset_or_database,0,146,14,2,0,0,27,189
HMM,metric,0,136,34,0,6,2,5,183
Transformer,metric,0,128,30,0,1,5,16,180
BERT,benchmark_or_protocol,0,136,23,0,0,1,6,166
SemEval,metric,0,91,42,0,0,0,11,144
PropBank,method,0,127,3,1,2,1,10,144
ROUGE,model,0,84,37,0,0,0,18,139
word2vec,metric,0,92,20,2,0,0,7,121
ELMo,metric,1,94,15,1,1,0,8,120
SQuAD,metric,0,63,14,0,1,1,30,109
METEOR,method,0,87,4,0,1,0,17,109
GloVe,metric,0,70,15,1,0,3,12,101
BLEU,model,0,65,20,0,1,0,6,92
BERT,task,0,90,1,0,0,0,0,91
BERT,claim_or_finding,0,82,3,2,0,0,0,87
ROUGE,method,0,78,2,0,1,0,3,84
GIZA++,metric,0,48,5,0,0,0,29,82
attention mechanism,metric,0,68,9,1,2,0,1,81
BERT,theory_or_concept,0,75,0,0,0,0,0,75
METEOR,model,0,47,12,0,1,1,13,74
METEOR,benchmark_or_protocol,0,52,20,0,0,0,2,74
METEOR,dataset_or_database,0,51,1,0,0,2,19,73
PropBank,theory_or_concept,0,69,1,1,1,0,0,72
SQuAD,model,0,57,7,1,0,0,5,70
Transformer,benchmark_or_protocol,1,57,8,0,2,0,0,68
Moses,method,0,41,9,0,0,0,18,68
HMM,model,0,59,3,0,0,0,1,63
Moses,metric,0,23,16,0,0,1,22,62
seq2seq,method,0,46,3,0,2,0,7,58
METEOR,software_or_tool,0,17,3,0,0,0,38,58
WordNet,model,0,42,7,1,0,1,4,55
BERT,software_or_tool,0,5,3,0,1,0,43,52
BLEU,method,0,37,3,0,3,0,7,50
WMT,metric,0,41,3,1,1,0,4,50
Transformer,software_or_tool,0,8,1,0,1,0,40,50
GIZA++,method,0,18,6,0,0,0,25,49
PropBank,metric,0,43,3,1,1,0,1,49
word2vec,method,0,40,0,0,3,0,6,49
SemEval,model,0,45,2,0,0,0,2,49
WordNet,method,0,44,2,0,1,0,1,48
FrameNet,benchmark_or_protocol,0,47,1,0,0,0,0,48
GloVe,dataset_or_database,0,36,2,0,0,0,10,48
Transformer,dataset_or_database,0,35,1,0,0,0,9,45
ROUGE,dataset_or_database,0,29,1,0,0,1,13,44
LSTM,dataset_or_database,0,26,13,0,0,0,5,44
FrameNet,task,0,42,0,0,0,0,0,42
PropBank,task,1,40,0,0,0,0,0,41
Transformer,claim_or_finding,0,40,0,0,0,0,0,40
BLEU,software_or_tool,0,11,9,0,1,1,17,39
GloVe,claim_or_finding,0,38,0,1,0,0,0,39
accuracy,method,0,26,4,0,2,0,7,39
F1,method,0,24,2,0,3,0,10,39
FrameNet,metric,0,35,2,1,0,0,0,38
FrameNet,theory_or_concept,0,36,0,0,0,0,0,36
LSTM,software_or_tool,0,3,3,0,0,0,30,36
ROUGE,claim_or_finding,0,35,1,0,0,0,0,36
GloVe,benchmark_or_protocol,0,23,8,0,1,0,4,36
LSTM,benchmark_or_protocol,0,26,8,0,0,1,1,36
seq2seq,metric,0,8,20,0,0,0,7,35
F1,benchmark_or_protocol,0,23,10,0,0,0,1,34
F1,dataset_or_database,0,28,1,1,0,0,3,33
SemEval,dataset_or_database,0,29,1,0,0,0,3,33
Transformer,task,0,31,1,0,0,0,0,32
WordNet,benchmark_or_protocol,0,29,2,0,0,0,0,31
Penn Treebank,method,0,14,5,3,2,0,7,31
FrameNet,model,0,25,2,0,1,0,1,29
SQuAD,benchmark_or_protocol,0,17,4,0,0,0,7,28
LSTM,claim_or_finding,0,24,2,1,0,0,0,27
ROUGE,benchmark_or_protocol,0,13,9,1,0,0,4,27
WMT,model,0,14,6,0,1,0,6,27
WordNet,task,0,27,0,0,0,0,0,27
GloVe,theory_or_concept,0,25,0,1,0,0,0,26
METEOR,claim_or_finding,0,22,1,1,0,0,0,24
LSTM,task,1,22,0,0,0,0,0,23
GloVe,task,0,23,0,0,0,0,0,23
Transformer,theory_or_concept,0,22,0,0,0,0,0,22
METEOR,task,0,22,0,0,0,0,0,22
ELMo,benchmark_or_protocol,0,18,3,0,0,0,0,21
GloVe,software_or_tool,0,11,0,0,2,0,7,20
SemEval,method,0,19,0,0,1,0,0,20
GIZA++,model,0,13,5,0,1,0,0,19
ELMo,claim_or_finding,0,18,0,1,0,0,0,19
CRF,dataset_or_database,0,10,7,1,0,0,0,18
ELMo,software_or_tool,0,3,5,0,1,0,9,18
ROUGE,theory_or_concept,0,18,0,0,0,0,0,18
BLEU,dataset_or_database,0,15,2,0,1,0,0,18
ELMo,dataset_or_database,0,10,3,0,0,0,3,16
WordNet,theory_or_concept,0,15,0,0,1,0,0,16
Penn Treebank,benchmark_or_protocol,0,12,1,0,1,0,2,16
HMM,task,0,16,0,0,0,0,0,16
PropBank,model,0,11,4,1,0,0,0,16
BLEU,benchmark_or_protocol,0,13,1,0,0,0,2,16
PropBank,benchmark_or_protocol,0,13,0,0,0,0,2,15
word2vec,dataset_or_database,0,13,0,0,0,0,2,15
accuracy,benchmark_or_protocol,0,7,6,0,0,0,1,14
seq2seq,software_or_tool,0,2,0,0,0,0,12,14
accuracy,dataset_or_database,0,12,0,0,0,0,2,14
ROUGE,software_or_tool,0,2,1,0,0,0,11,14
CRF,task,0,14,0,0,0,0,0,14
GIZA++,benchmark_or_protocol,0,10,0,0,0,0,3,13
F1,claim_or_finding,0,12,1,0,0,0,0,13
Moses,model,0,6,3,0,0,0,4,13
ELMo,theory_or_concept,0,12,0,0,0,0,0,12
word2vec,claim_or_finding,0,12,0,0,0,0,0,12
METEOR,theory_or_concept,0,11,0,0,0,0,0,11
WMT,method,0,8,0,0,0,0,3,11
ELMo,task,0,11,0,0,0,0,0,11
attention mechanism,task,0,9,1,0,0,0,0,10
GIZA++,dataset_or_database,1,6,0,0,0,0,3,10
CRF,benchmark_or_protocol,0,10,0,0,0,0,0,10
accuracy,claim_or_finding,0,6,4,0,0,0,0,10
Penn Treebank,model,0,3,2,1,0,0,4,10
PropBank,claim_or_finding,0,8,2,0,0,0,0,10
FrameNet,claim_or_finding,0,10,0,0,0,0,0,10
seq2seq,dataset_or_database,1,5,2,0,0,0,2,10
word2vec,software_or_tool,0,2,0,0,0,0,7,9
ROUGE,task,0,9,0,0,0,0,0,9
HMM,software_or_tool,0,2,2,0,0,0,5,9
SQuAD,method,0,8,0,0,0,0,1,9
accuracy,model,0,5,2,0,0,0,1,8
PropBank,software_or_tool,0,3,0,0,1,0,4,8
Moses,dataset_or_database,0,5,2,0,0,0,0,7
HMM,benchmark_or_protocol,0,7,0,0,0,0,0,7
F1,model,0,2,3,0,0,0,2,7
WMT,software_or_tool,0,4,0,0,0,0,3,7
seq2seq,benchmark_or_protocol,0,3,4,0,0,0,0,7
WordNet,software_or_tool,0,2,0,0,1,0,4,7
CRF,software_or_tool,0,1,0,0,0,0,6,7
F1,task,0,7,0,0,0,0,0,7
F1,software_or_tool,0,1,2,0,0,0,4,7
CRF,claim_or_finding,0,6,0,0,0,0,0,6
WMT,dataset_or_database,0,5,1,0,0,0,0,6
WordNet,claim_or_finding,0,5,0,0,1,0,0,6
Penn Treebank,software_or_tool,0,2,0,0,0,0,4,6
Penn Treebank,task,1,5,0,0,0,0,0,6
attention mechanism,benchmark_or_protocol,0,4,1,0,0,0,0,5
word2vec,task,0,5,0,0,0,0,0,5
word2vec,benchmark_or_protocol,0,4,1,0,0,0,0,5
Moses,benchmark_or_protocol,1,2,0,0,0,0,2,5
HMM,dataset_or_database,0,5,0,0,0,0,0,5
word2vec,theory_or_concept,0,4,0,1,0,0,0,5
LSTM,theory_or_concept,0,4,0,0,0,0,0,4
SQuAD,task,0,4,0,0,0,0,0,4
SemEval,task,0,3,0,0,0,0,0,3
attention mechanism,dataset_or_database,0,3,0,0,0,0,0,3
CRF,theory_or_concept,0,3,0,0,0,0,0,3
GloVe,unknown,0,0,0,0,0,3,0,3
