source,target,rows,rate_within_source
applies,applies,1027,0.6243161094224924
applies,uses,569,0.3458966565349544
applies,compares_against,24,0.01458966565349544
applies,background,17,0.01033434650455927
applies,extends,8,0.004863221884498481
background,background,100943,0.9667665903670999
background,compares_against,1649,0.015793052589236974
background,extends,960,0.009194257420053059
background,uses,704,0.006742455441372243
background,critiques,133,0.0012737877467365174
background,applies,24,0.00022985643550132645
compares_against,compares_against,21113,0.9087113712662478
compares_against,background,1778,0.07652578118274941
compares_against,uses,243,0.010458810364121546
compares_against,extends,76,0.003271068262029784
compares_against,critiques,20,0.0008608074373762589
compares_against,applies,4,0.00017216148747525178
critiques,critiques,5870,0.8835039133052378
critiques,background,564,0.08488862131246237
critiques,compares_against,131,0.01971703792895846
critiques,uses,40,0.006020469596628537
critiques,extends,38,0.005719446116797111
critiques,applies,1,0.00015051173991571343
extends,extends,1878,0.9776158250910983
extends,compares_against,25,0.013014055179593961
extends,background,12,0.006246746486205101
extends,uses,4,0.002082248828735034
extends,applies,2,0.001041124414367517
unclear,background,34799,0.7484299724707502
unclear,uses,5910,0.12710770818995182
unclear,compares_against,3831,0.08239418444597385
unclear,extends,1518,0.03264796971782519
unclear,critiques,364,0.00782863041982106
unclear,applies,74,0.0015915347556779078
uses,uses,42721,0.9410326446098947
uses,background,1710,0.0376668575708181
uses,compares_against,662,0.014582140182386889
uses,extends,285,0.00627780959513635
uses,critiques,15,0.0003304110313229658
uses,applies,5,0.00011013701044098859
