normalized_section,final_intent,rows
abstract,extends,4
abstract,applies,2
abstract,compares_against,2
abstract,uses,1
analysis,compares_against,3
analysis,extends,1
analysis,uses,1
background,background,2
background,compares_against,1
background,critiques,1
conclusion,compares_against,3
conclusion,uses,2
conclusion,background,1
conclusion,critiques,1
conclusion,extends,1
discussion,critiques,2
discussion,compares_against,1
discussion,uses,1
evaluation,uses,8
evaluation,compares_against,5
evaluation,background,3
evaluation,critiques,3
evaluation,applies,1
experiment,uses,28
experiment,compares_against,18
experiment,background,4
experiment,critiques,2
experiment,applies,1
experiment,extends,1
introduction,background,45
introduction,compares_against,28
introduction,extends,22
introduction,critiques,21
introduction,applies,11
introduction,uses,5
introduction,unclear,1
method,uses,9
method,compares_against,6
method,background,2
method,applies,1
method,extends,1
model,uses,11
model,background,5
model,compares_against,5
model,extends,5
model,critiques,3
model,applies,2
related_work,compares_against,23
related_work,background,18
related_work,critiques,9
related_work,extends,8
related_work,uses,4
related_work,applies,3
results,compares_against,14
results,critiques,3
results,uses,2
results,applies,1
results,extends,1
