canonical_name,evidence_backed_edge_count,strict_rank,total_graph_candidate_mentions,broad_rank
BERT,51.0,1.0,47170,1.0
BLEU,38.0,2.0,27308,3.0
LSTM,35.0,3.0,34654,2.0
Transformer,22.0,4.0,23049,5.0
CRF,21.0,5.0,23524,4.0
seq2seq,17.0,6.0,13456,7.0
Penn Treebank,14.0,7.0,9441,13.0
word2vec,14.0,7.0,7361,14.0
WordNet,13.0,9.0,18263,6.0
ROUGE,13.0,9.0,10301,10.0
GloVe,13.0,9.0,10294,11.0
attention mechanism,10.0,12.0,12020,9.0
METEOR,10.0,12.0,5524,17.0
WMT,10.0,12.0,5418,19.0
ELMo,9.0,15.0,6686,16.0
SemEval,8.0,16.0,12395,8.0
Moses,8.0,16.0,6784,15.0
HMM,5.0,18.0,10096,12.0
GIZA++,5.0,18.0,5013,21.0
OntoNotes,5.0,18.0,3065,24.0
Stanford CoreNLP,5.0,18.0,2026,26.0
SNLI,4.0,22.0,3907,23.0
CoNLL-2003,4.0,22.0,1243,27.0
SQuAD,3.0,24.0,5503,18.0
GLUE,2.0,25.0,3051,25.0
OPUS,2.0,25.0,1207,30.0
FrameNet,1.0,27.0,5161,20.0
NLTK,1.0,27.0,1228,28.0
MultiNLI,1.0,27.0,1212,29.0
spaCy,1.0,27.0,767,32.0
PropBank,,,4026,22.0
CoNLL-2012,,,847,31.0
SuperGLUE,,,688,33.0
