canonical_name,object_type,object_category,total_graph_candidate_mentions,known_section_count,applies,background,compares_against,critiques,extends,unclear,uses,unknown_section_count,phase1_uses_count,phase1_compares_count,phase1_extends_count,phase1_critiques_count,phase1_applies_count,background_count,use_share,compare_share,critique_share,extension_share
BERT,model,named_object,47170,32066,135,21015,2483,478,85,19082,3892,15104,3892,2483,85,478,135,21015,0.08251006995972016,0.05263938944244223,0.010133559465762138,0.001801992792028832
LSTM,model,named_object,34654,24227,77,17475,2043,162,100,12437,2360,10427,2360,2043,100,162,77,17475,0.06810180642927223,0.05895423327754372,0.004674785017602586,0.002885669763952213
BLEU,metric,named_object,27308,19566,47,9794,1510,352,45,12576,2984,7742,2984,1510,45,352,47,9794,0.10927200820272448,0.05529515160392559,0.012889995605683316,0.0016478687564083785
CRF,method,named_object,23524,17673,48,14924,921,98,45,6221,1267,5851,1267,921,45,98,48,14924,0.05385988777418806,0.039151504846114606,0.004165958170379187,0.0019129399761945247
Transformer,model,named_object,23049,16982,57,12602,1018,145,50,7590,1587,6067,1587,1018,50,145,57,12602,0.06885331250813484,0.044166775131242134,0.006290945377239793,0.0021692915093930324
WordNet,dataset_or_database,named_object,18263,11837,27,10929,361,155,18,5981,792,6426,792,361,18,155,27,10929,0.04336636916169304,0.019766741499206045,0.008487105075836391,0.0009855992991293873
seq2seq,model,named_object,13456,10718,19,9214,503,107,25,3054,534,2738,534,503,25,107,19,9214,0.03968489892984542,0.03738109393579073,0.007951843043995243,0.0018579072532699168
SemEval,benchmark_or_protocol,named_object,12395,8836,20,7391,317,28,24,3738,877,3559,877,317,24,28,20,7391,0.07075433642597821,0.025574828559903187,0.0022589753933037514,0.001936264622831787
attention mechanism,method,named_object,12020,9011,16,7879,389,82,40,3188,426,3009,426,389,40,82,16,7879,0.03544093178036606,0.03236272878535774,0.006821963394342762,0.0033277870216306157
ROUGE,metric,named_object,10301,7996,14,4073,431,161,13,4258,1351,2305,1351,431,13,161,14,4073,0.13115231530919327,0.04184059800019416,0.015629550529074845,0.0012620133967575964
GloVe,model,named_object,10294,5783,29,3027,415,32,21,4918,1852,4511,1852,415,21,32,29,3027,0.17991062755002915,0.04031474645424519,0.003108606955508063,0.002040023314552166
HMM,method,named_object,10096,7545,10,6426,303,108,8,2830,411,2551,411,303,8,108,10,6426,0.04070919175911252,0.03001188589540412,0.010697305863708399,0.000792393026941363
Penn Treebank,dataset_or_database,named_object,9441,5919,49,4754,167,60,9,3366,1036,3522,1036,167,9,60,49,4754,0.10973413833280372,0.01768880415210253,0.006355258976803305,0.0009532888465204957
word2vec,model,named_object,7361,4905,22,3525,270,25,10,2815,694,2456,694,270,10,25,22,3525,0.09428066838744736,0.036679798940361365,0.0033962776796630893,0.0013585110718652357
Moses,software_or_tool,named_object,6784,3249,38,1377,349,15,13,3585,1407,3535,1407,349,13,15,38,1377,0.20739976415094338,0.05144457547169811,0.0022110849056603773,0.0019162735849056604
ELMo,model,named_object,6686,4481,27,3120,289,66,13,2670,501,2205,501,289,13,66,27,3120,0.0749326951839665,0.04322464851929405,0.009871373018247084,0.001944361352078971
METEOR,metric,named_object,5524,4196,8,2247,279,73,7,2265,645,1328,645,279,7,73,8,2247,0.1167632150615496,0.05050687907313541,0.013215061549601738,0.0012671976828385228
SQuAD,dataset_or_database,named_object,5503,3325,18,2333,205,46,11,2272,618,2178,618,205,11,46,18,2333,0.11230238051971651,0.037252407777575866,0.008359076867163365,0.001998909685626022
